Team,E1,E2,E1_COST,E2_COST,TOTAL_COST
frc1086,VAPOR,VAGLE,94,11,105
frc1111,MDSEV,MDOWI,22,46,68
frc1123,VABLA,VAFAL,235,15,250
frc116,VABLA,VAFAL,239,24,263
frc122,VAPOR,VAGLE,27,78,105
frc1262,VABLA,VAPOR,108,239,347
frc1389,MDSEV,VAFAL,43,26,69
frc1418,VAGLE,VAFAL,98,5,103
frc1446,MDSEV,MDOWI,41,59,100
frc1522,VAPOR,VAGLE,99,25,124
frc1599,VAPOR,VAGLE,99,25,124
frc1610,VAPOR,VAGLE,52,100,152
frc1629,VABLA,MDOWI,279,159,438
frc1719,MDSEV,MDOWI,33,11,44
frc1727,MDSEV,MDOWI,35,19,54
frc1731,VABLA,VAFAL,214,42,256
frc1793,VAPOR,VAGLE,27,96,123
frc1885,VABLA,VAFAL,213,28,241
frc1895,VABLA,VAFAL,227,31,258
frc1908,VAPOR,VAGLE,69,144,213
frc1915,MDSEV,MDOWI,42,63,105
frc2028,VAPOR,VAGLE,31,86,117
frc2068,VAGLE,VAFAL,99,33,132
frc2106,VAPOR,VAGLE,117,25,142
frc2186,VABLA,VAFAL,239,24,263
frc2199,MDSEV,MDOWI,35,16,51
frc2363,VAPOR,VAGLE,35,77,112
frc2377,MDSEV,MDOWI,13,34,47
frc2421,VAGLE,VAFAL,93,20,113
frc2534,MDSEV,MDOWI,38,20,58
frc2537,MDSEV,MDOWI,27,35,62
frc2849,MDSEV,MDOWI,26,37,63
frc2890,VAPOR,VAGLE,38,144,182
frc2900,VAPOR,VAFAL,179,17,196
frc2912,MDSEV,MDOWI,42,63,105
frc2914,MDSEV,VAFAL,53,26,79
frc2961,MDSEV,VAFAL,49,31,80
frc2988,VABLA,VAFAL,205,61,266
frc2998,VAPOR,VAGLE,96,18,114
frc3136,VAPOR,VAGLE,100,20,120
frc3359,VAPOR,VAGLE,12,103,115
frc3361,VABLA,VAGLE,118,87,205
frc3373,VABLA,VAFAL,215,43,258
frc339,VAPOR,VAFAL,134,60,194
frc346,VAPOR,VAGLE,112,32,144
frc3748,MDSEV,MDOWI,24,27,51
frc3793,MDSEV,MDOWI,56,55,111
frc384,VAPOR,VAGLE,100,14,114
frc3939,VABLA,VAFAL,56,190,246
frc401,VABLA,VAFAL,11,233,244
frc404,VAPOR,VAGLE,92,43,135
frc4099,MDSEV,MDOWI,67,72,139
frc422,VAPOR,VAGLE,92,22,114
frc4286,VAPOR,VAGLE,87,19,106
frc4456,MDSEV,MDOWI,49,63,112
frc4464,MDSEV,MDOWI,25,43,68
frc4472,VAGLE,VAFAL,80,24,104
frc449,MDSEV,MDOWI,34,47,81
frc4505,MDSEV,MDOWI,29,8,37
frc4541,MDSEV,MDOWI,8,33,41
frc4638,MDSEV,VAFAL,52,36,88
frc4821,MDSEV,VAFAL,50,35,85
frc5115,MDSEV,MDOWI,41,55,96
frc5243,VAGLE,VAFAL,99,27,126
frc5338,VABLA,VAFAL,229,38,267
frc539,VAPOR,VAGLE,101,27,128
frc540,VAPOR,VAGLE,109,16,125
frc5549,VAGLE,VAFAL,98,5,103
frc5587,VAGLE,VAFAL,98,23,121
frc5724,VABLA,VAFAL,45,203,248
frc5804,VAPOR,VAGLE,106,20,126
frc5830,MDSEV,MDOWI,13,37,50
frc5841,MDSEV,MDOWI,59,58,117
frc5954,VABLA,VAPOR,181,144,325
frc611,VAPOR,VAFAL,180,11,191
frc612,VABLA,VAFAL,228,22,250
frc614,VAPOR,VAFAL,171,26,197
frc617,VAPOR,VAGLE,80,26,106
frc6189,VABLA,VAGLE,174,50,224
frc619,VABLA,VAGLE,143,59,202
frc6194,VABLA,VAGLE,167,56,223
frc620,VABLA,VAFAL,238,18,256
frc623,VABLA,VAFAL,238,18,256
frc6239,MDSEV,MDOWI,42,64,106
frc6326,MDSEV,MDOWI,20,27,47
frc6504,VAGLE,VAFAL,97,9,106
frc6802,VABLA,VAFAL,109,331,440
frc686,MDSEV,MDOWI,72,60,132
frc6863,MDSEV,MDOWI,27,36,63
frc6882,VAPOR,VAFAL,134,60,194
frc7429,VAPOR,VAGLE,109,23,132
frc7770,MDSEV,MDOWI,45,45,90
frc7886,MDSEV,MDOWI,59,58,117
frc8197,MDSEV,MDOWI,32,50,82
frc8230,VAPOR,VAFAL,173,21,194
frc8326,MDSEV,VAFAL,53,26,79
frc836,VAGLE,MDOWI,111,107,218
frc8514,MDSEV,MDOWI,38,33,71
frc8590,VAGLE,VAFAL,100,15,115
frc8592,VAGLE,VAFAL,100,15,115
frc8622,MDSEV,MDOWI,9,37,46
frc8726,MDSEV,MDOWI,49,49,98
frc888,MDSEV,MDOWI,31,32,63
frc9003,VABLA,VAPOR,119,221,340
frc9033,VAPOR,VAFAL,173,17,190
frc9072,MDSEV,MDOWI,16,28,44
frc9214,VAPOR,VAGLE,17,126,143
frc9235,VABLA,VAFAL,223,39,262
frc977,VABLA,VAPOR,164,173,337
